BOOT1:1
C1:1
C10:1
C11:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D16:1
D17:1
D18:1
D19:1
D2:1
D20:1
D21:1
D22:1
D23:1
D24:1
D25:1
D26:1
D27:1
D28:1
D29:1
D3:1
D30:1
D31:1
D32:1
D33:1
D34:1
D35:1
D36:1
D37:1
D38:1
D39:1
D4:1
D40:1
D41:1
D42:1
D43:1
D44:1
D45:1
D46:1
D5:1
D6:1
D7:1
D8:1
D9:1
H1:1
H2:1
H3:1
H4:1
J1:1
J2:1
LED1:1
LED10:1
LED11:1
LED12:1
LED13:1
LED14:1
LED15:1
LED16:1
LED17:1
LED18:1
LED19:1
LED2:1
LED20:1
LED21:1
LED22:1
LED23:1
LED24:1
LED25:1
LED26:1
LED27:1
LED28:1
LED29:1
LED3:1
LED30:1
LED31:1
LED32:1
LED33:1
LED34:1
LED35:1
LED36:1
LED37:1
LED38:1
LED39:1
LED4:1
LED40:1
LED41:1
LED42:1
LED43:1
LED44:1
LED45:1
LED46:1
LED5:1
LED6:1
LED7:1
LED8:1
LED9:1
MX1:1
MX10:1
MX11:1
MX12:1
MX13:1
MX14:1
MX15:1
MX16:1
MX17:1
MX18:1
MX19:1
MX2:1
MX20:1
MX21:1
MX22:1
MX23:1
MX24:1
MX25:1
MX26:1
MX27:1
MX28:1
MX29:1
MX3:1
MX30:1
MX31:1
MX32:1
MX33:1
MX34:1
MX35:1
MX36:1
MX37:1
MX38:1
MX39:1
MX4:1
MX40:1
MX41:1
MX42:1
MX43:1
MX44:1
MX45:1
MX46:1
MX5:1
MX6:1
MX7:1
MX8:1
MX9:1
R1:1
R2:1
R3:1
RST1:1
S1:1
S2:1
U1:1
U2:1
